Key,Stream,Line_number,Time_stamp,Text,Label
38,"FOX.1488548580.002Z-1488548640.000Z.ts
","23
","00:00:51,168 --> 00:00:53,771
","<font face=""Monospace"">{\an7}HERE’S WHAT A FEW OF YOUR
NEIGHBORS HAD TO TELL US THIS</font>
",0
39,"FOX.1488548580.002Z-1488548640.000Z.ts
","24
","00:00:53,770 --> 00:00:54,504
","<font face=""Monospace"">{\an7}NEIGHBORS HAD TO TELL US THIS
MORNING.</font>
",0
40,"FOX.1488548580.002Z-1488548640.000Z.ts
","25
","00:00:54,504 --> 00:00:56,206
","<font face=""Monospace"">{\an7}MORNING.
>> I HAVEN’T BEEN PLAYING FOR</font>
",0
41,"FOX.1488548580.002Z-1488548640.000Z.ts
","26
","00:00:56,206 --> 00:00:56,707
","<font face=""Monospace"">{\an7}>> I HAVEN’T BEEN PLAYING FOR
AWHILE.</font>
",0
42,"FOX.1488548640.000Z-1488548700.001Z.ts
","1
","00:00:00,150 --> 00:00:00,417
","<font face=""Monospace"">{\an7}EXCITED.</font>

",0
43,"FOX.1488548640.000Z-1488548700.001Z.ts
","2
","00:00:00,417 --> 00:00:02,452
","<font face=""Monospace"">{\an7}EXCITED.
>> SO YOU GOT IN LINE AT 6:00.</font>
",0
44,"FOX.1488548640.000Z-1488548700.001Z.ts
","3
","00:00:02,452 --> 00:00:05,755
","<font face=""Monospace"">{\an7}>> SO YOU GOT IN LINE AT 6:00.
>> ARE YOU GOING TO BE LATE FOR</font>
",0
45,"FOX.1488548640.000Z-1488548700.001Z.ts
","4
","00:00:05,756 --> 00:00:06,390
","<font face=""Monospace"">{\an7}>> ARE YOU GOING TO BE LATE FOR
WORK?</font>
",0
46,"FOX.1488548640.000Z-1488548700.001Z.ts
","5
","00:00:06,390 --> 00:00:09,093
","<font face=""Monospace"">{\an7}WORK?
>> I MANY TEN, SO I THINK I’LL</font>
",0
47,"FOX.1488548640.000Z-1488548700.001Z.ts
","6
","00:00:09,092 --> 00:00:12,195
","<font face=""Monospace"">{\an7}>> I MANY TEN, SO I THINK I’LL
GET THERE AT 9:30.</font>
",0
48,"FOX.1488548640.000Z-1488548700.001Z.ts
","7
","00:00:12,196 --> 00:00:14,198
","<font face=""Monospace"">{\an7}GET THERE AT 9:30.
>>> IT’S A PART -- IT’S</font>
",0
49,"FOX.1488548640.000Z-1488548700.001Z.ts
","8
","00:00:14,198 --> 00:00:16,200
","<font face=""Monospace"">{\an7}>>> IT’S A PART -- IT’S
SOMETHING DIFFICULT.</font>
",0
50,"FOX.1488548640.000Z-1488548700.001Z.ts
","9
","00:00:16,200 --> 00:00:19,303
","<font face=""Monospace"">{\an7}SOMETHING DIFFICULT.
BUT, I MEAN, ME, I AM MAINLY</font>
",0
51,"FOX.1488548640.000Z-1488548700.001Z.ts
","10
","00:00:19,303 --> 00:00:27,711
","<font face=""Monospace"">{\an7}BUT, I MEAN, ME, I AM MAINLY
GETTING IT FOR ZELDA.</font>
",0
52,"FOX.1488548640.000Z-1488548700.001Z.ts
","11
","00:00:27,711 --> 00:00:29,846
","<font face=""Monospace"">{\an7}GETTING IT FOR ZELDA.
>> SO AS YOU COME BACK, THESE</font>
",0
53,"FOX.1488548640.000Z-1488548700.001Z.ts
","12
","00:00:29,846 --> 00:00:31,314
","<font face=""Monospace"">{\an7}>> SO AS YOU COME BACK, THESE
ARE THE PEOPLE STILL WAITING TO</font>
",0
54,"FOX.1488548640.000Z-1488548700.001Z.ts
","13
","00:00:31,315 --> 00:00:33,450
","<font face=""Monospace"">{\an7}ARE THE PEOPLE STILL WAITING TO
GET IN THE STORE, I’M GOING TO</font>
",0
55,"FOX.1488548640.000Z-1488548700.001Z.ts
","14
","00:00:33,450 --> 00:00:35,819
","<font face=""Monospace"">{\an7}GET IN THE STORE, I’M GOING TO
ASK AL TO SWING AROUND, TO SHOW</font>
",0
56,"FOX.1488548640.000Z-1488548700.001Z.ts
","15
","00:00:35,819 --> 00:00:37,421
","<font face=""Monospace"">{\an7}ASK AL TO SWING AROUND, TO SHOW
YOU THE BACK, BECAUSE WHAT’S</font>
",0
57,"FOX.1488548640.000Z-1488548700.001Z.ts
","16
","00:00:37,421 --> 00:00:39,390
","<font face=""Monospace"">{\an7}YOU THE BACK, BECAUSE WHAT’S
GOING ON WITH THIS BUS, IS A</font>
",0
58,"FOX.1488548640.000Z-1488548700.001Z.ts
","17
","00:00:39,389 --> 00:00:41,558
","<font face=""Monospace"">{\an7}GOING ON WITH THIS BUS, IS A
NUMBER OF PEOPLE, WHO ONCE THEY</font>
",0
59,"FOX.1488548640.000Z-1488548700.001Z.ts
","18
","00:00:41,558 --> 00:00:43,994
","<font face=""Monospace"">{\an7}NUMBER OF PEOPLE, WHO ONCE THEY
GET THEIR DEVICE, THEY’RE GOING</font>
",0
60,"FOX.1488548640.000Z-1488548700.001Z.ts
","19
","00:00:43,994 --> 00:00:46,830
","<font face=""Monospace"">{\an7}GET THEIR DEVICE, THEY’RE GOING
TO BOARD THEIR DEVICE, AND GO</font>
",0
61,"FOX.1488548640.000Z-1488548700.001Z.ts
","20
","00:00:46,830 --> 00:00:48,298
","<font face=""Monospace"">{\an7}TO BOARD THEIR DEVICE, AND GO
DOWN TO THE PARK, LIVING ROOM</font>
",0
62,"FOX.1488548640.000Z-1488548700.001Z.ts
","21
","00:00:48,298 --> 00:00:50,400
","<font face=""Monospace"">{\an7}DOWN TO THE PARK, LIVING ROOM
FOR PEOPLE TO PLAY THEIR DE</font>
",0
63,"FOX.1488548640.000Z-1488548700.001Z.ts
","22
","00:00:50,400 --> 00:00:52,702
","<font face=""Monospace"">{\an7}FOR PEOPLE TO PLAY THEIR DE
VICES AND AGAIN TO INCREASE THE</font>
",0
64,"FOX.1488548640.000Z-1488548700.001Z.ts
","23
","00:00:52,703 --> 00:00:54,905
","<font face=""Monospace"">{\an7}VICES AND AGAIN TO INCREASE THE
INTERACTION, THAT FACE-TO-FACE,</font>
",0
65,"FOX.1488548640.000Z-1488548700.001Z.ts
","24
","00:00:54,905 --> 00:00:58,008
","<font face=""Monospace"">{\an7}INTERACTION, THAT FACE-TO-FACE,
BETWEEN THE OTHER ONCE.</font>
",0
66,"FOX.1488548700.001Z-1488548760.001Z.ts
","1
","00:00:00,000 --> 00:00:02,236
","<font face=""Monospace"">{\an7}IS WHAT IT</font>

",0
67,"FOX.1488548700.001Z-1488548760.001Z.ts
","2
","00:00:02,236 --> 00:00:02,737
","<font face=""Monospace"">{\an7}COST.
IS WHAT IT</font>
",0
68,"FOX.1488548700.001Z-1488548760.001Z.ts
","3
","00:00:02,736 --> 00:00:04,938
","<font face=""Monospace"">{\an7}COST.
>> Greg: WHAT STORE IS THAT?</font>
",0
69,"FOX.1488548700.001Z-1488548760.001Z.ts
","4
","00:00:04,938 --> 00:00:08,241
","<font face=""Monospace"">{\an7}>> Greg: WHAT STORE IS THAT?
>> THAT’S THE NINTENDO STORE.</font>
",0
70,"FOX.1488548700.001Z-1488548760.001Z.ts
","5
","00:00:08,242 --> 00:00:09,410
","<font face=""Monospace"">{\an7}>> THAT’S THE NINTENDO STORE.
>> 48TH AND 6.</font>
",0
71,"FOX.1488548700.001Z-1488548760.001Z.ts
","6
","00:00:09,409 --> 00:00:12,245
","<font face=""Monospace"">{\an7}>> 48TH AND 6.
>> POP UP STORE.</font>
",0
72,"FOX.1488548700.001Z-1488548760.001Z.ts
","7
","00:00:12,246 --> 00:00:15,883
","<font face=""Monospace"">{\an7}>> POP UP STORE.
>> Greg: BY BEST BUY.</font>
",0
73,"FOX.1488548700.001Z-1488548760.001Z.ts
","8
","00:00:15,883 --> 00:00:17,685
","<font face=""Monospace"">{\an7}>> Greg: BY BEST BUY.
>> Greg: COUPLE THINGS COMING</font>
",0
74,"FOX.1488548700.001Z-1488548760.001Z.ts
","9
","00:00:17,684 --> 00:00:19,753
","<font face=""Monospace"">{\an7}>> Greg: COUPLE THINGS COMING
UP, ""NEW YORK POST,"" DROPPING BY</font>
",0
75,"FOX.1488548700.001Z-1488548760.001Z.ts
","10
","00:00:19,753 --> 00:00:22,489
","<font face=""Monospace"">{\an7}UP, ""NEW YORK POST,"" DROPPING BY
WITH SOME DISH ABOUT THE WIDE</font>
",0
76,"FOX.1488548700.001Z-1488548760.001Z.ts
","11
","00:00:22,489 --> 00:00:24,658
","<font face=""Monospace"">{\an7}WITH SOME DISH ABOUT THE WIDE
DENSE, AND, CINDY ADAMS AND</font>
",0
77,"FOX.1488548700.001Z-1488548760.001Z.ts
","12
","00:00:24,658 --> 00:00:27,494
","<font face=""Monospace"">{\an7}DENSE, AND, CINDY ADAMS AND
COMING UP, AND, SEE A ARTIST WHO</font>
",0
78,"FOX.1488548700.001Z-1488548760.001Z.ts
","13
","00:00:27,494 --> 00:00:30,564
","<font face=""Monospace"">{\an7}COMING UP, AND, SEE A ARTIST WHO
WORKS WITH HUMAN ASH</font>
",0
79,"FOX.1488548880.002Z-1488548940.003Z.ts
","1
","00:00:17,768 --> 00:00:19,503
","<font face=""Monospace"">{\an7}>> HEY, TAKE A LOOK.</font>

",0
80,"FOX.1488548880.002Z-1488548940.003Z.ts
","2
","00:00:19,503 --> 00:00:21,071
","<font face=""Monospace"">{\an7}>> HEY, TAKE A LOOK.
FRONT-PAGE NEWS.</font>
",0
81,"FOX.1488548880.002Z-1488548940.003Z.ts
","3
","00:00:21,071 --> 00:00:25,108
","<font face=""Monospace"">{\an7}FRONT-PAGE NEWS.
JOE BIDEN, WHO AVOIDED PERSONAL</font>
",0
82,"FOX.1488548880.002Z-1488548940.003Z.ts
","4
","00:00:25,108 --> 00:00:27,310
","<font face=""Monospace"">{\an7}JOE BIDEN, WHO AVOIDED PERSONAL
SCANDAL, HIS ENTIRE EIGHT YEARS,</font>
",0
83,"FOX.1488548880.002Z-1488548940.003Z.ts
","5
","00:00:27,311 --> 00:00:31,615
","<font face=""Monospace"">{\an7}SCANDAL, HIS ENTIRE EIGHT YEARS,
AS VICE-PRESIDENT, WELL, IT</font>
",0
84,"FOX.1488548880.002Z-1488548940.003Z.ts
","6
","00:00:31,615 --> 00:00:33,717
","<font face=""Monospace"">{\an7}AS VICE-PRESIDENT, WELL, IT
INVOLVES HIS CHILDREN.</font>
",0
85,"FOX.1488548880.002Z-1488548940.003Z.ts
","7
","00:00:33,717 --> 00:00:35,118
","<font face=""Monospace"">{\an7}INVOLVES HIS CHILDREN.
THAT’S HUNTER.</font>
",0
86,"FOX.1488548880.002Z-1488548940.003Z.ts
","8
","00:00:35,118 --> 00:00:39,022
","<font face=""Monospace"">{\an7}THAT’S HUNTER.
NOW HE IS INVOLVED WITH HIS</font>
",0
87,"FOX.1488548880.002Z-1488548940.003Z.ts
","9
","00:00:39,022 --> 00:00:42,025
","<font face=""Monospace"">{\an7}NOW HE IS INVOLVED WITH HIS
BROTHER, LATE BROTHER’S WIDOW.</font>
",0
88,"FOX.1488548880.002Z-1488548940.003Z.ts
","10
","00:00:42,025 --> 00:00:46,663
","<font face=""Monospace"">{\an7}BROTHER, LATE BROTHER’S WIDOW.
>> IT GETS A LITTLE BIT, SO BO</font>
",0
89,"FOX.1488548880.002Z-1488548940.003Z.ts
","11
","00:00:46,663 --> 00:00:48,064
","<font face=""Monospace"">{\an7}>> IT GETS A LITTLE BIT, SO BO
BIDEN, DIED IN 2015.</font>
",0
90,"FOX.1488548880.002Z-1488548940.003Z.ts
","12
","00:00:48,065 --> 00:00:49,600
","<font face=""Monospace"">{\an7}BIDEN, DIED IN 2015.
LEFT BEHIND A WIFE.</font>
",0
91,"FOX.1488548880.002Z-1488548940.003Z.ts
","13
","00:00:49,600 --> 00:00:51,702
","<font face=""Monospace"">{\an7}LEFT BEHIND A WIFE.
THAT PERSON IS NOW ROMANTICALLY</font>
",0
92,"FOX.1488548880.002Z-1488548940.003Z.ts
","14
","00:00:51,702 --> 00:00:54,705
","<font face=""Monospace"">{\an7}THAT PERSON IS NOW ROMANTICALLY
INVOLVED WITH HUNTER.</font>
",0
93,"FOX.1488548880.002Z-1488548940.003Z.ts
","15
","00:00:54,705 --> 00:00:58,209
","<font face=""Monospace"">{\an7}INVOLVED WITH HUNTER.
IT’S RAISED A LOT OF EYEBROWS.</font>
",0
94,"FOX.1488548940.003Z-1488549000.001Z.ts
","1
","00:00:00,033 --> 00:00:02,636
","<font face=""Monospace"">{\an7}COCAINE USE, PROSTITUTE</font>

",0
95,"FOX.1488548940.003Z-1488549000.001Z.ts
","2
","00:00:02,636 --> 00:00:05,139
","<font face=""Monospace"">{\an7}COCAINE USE, PROSTITUTE
PRACTICES AND BRING IN CARLOS</font>
",0
96,"FOX.1488548940.003Z-1488549000.001Z.ts
","3
","00:00:05,138 --> 00:00:05,338
","<font face=""Monospace"">{\an7}PRACTICES AND BRING IN CARLOS
GREER.</font>
",0
97,"FOX.1488548940.003Z-1488549000.001Z.ts
","4
","00:00:05,339 --> 00:00:07,074
","<font face=""Monospace"">{\an7}GREER.
HE KNOWS EVERYTHING THAT’S GOING</font>
",0
98,"FOX.1488548940.003Z-1488549000.001Z.ts
","5
","00:00:07,074 --> 00:00:08,042
","<font face=""Monospace"">{\an7}HE KNOWS EVERYTHING THAT’S GOING
ON.</font>
",0
99,"FOX.1488548940.003Z-1488549000.001Z.ts
","6
","00:00:08,041 --> 00:00:10,977
","<font face=""Monospace"">{\an7}ON.
YOU’LL SEE ON T.V. WHEN IT COMES</font>
",0
100,"FOX.1488548940.003Z-1488549000.001Z.ts
","7
","00:00:10,978 --> 00:00:12,680
","<font face=""Monospace"">{\an7}YOU’LL SEE ON T.V. WHEN IT COMES
BACK ON TELEVISION.</font>
",0
101,"FOX.1488548940.003Z-1488549000.001Z.ts
","8
","00:00:12,679 --> 00:00:13,914
","<font face=""Monospace"">{\an7}BACK ON TELEVISION.
>> HOW ARE YOU DOING.</font>
",0
102,"FOX.1488548940.003Z-1488549000.001Z.ts
","9
","00:00:13,914 --> 00:00:16,884
","<font face=""Monospace"">{\an7}>> HOW ARE YOU DOING.
>> I AM VERY WELL, THIS STORY</font>
",0
103,"FOX.1488548940.003Z-1488549000.001Z.ts
","10
","00:00:16,884 --> 00:00:19,387
","<font face=""Monospace"">{\an7}>> I AM VERY WELL, THIS STORY
IS, WE REPORTED EARLIER, THIS</font>
",0
104,"FOX.1488548940.003Z-1488549000.001Z.ts
","11
","00:00:19,386 --> 00:00:23,824
","<font face=""Monospace"">{\an7}IS, WE REPORTED EARLIER, THIS
WEEK THAT HUNTER WAS DATING HIS</font>
",0
105,"FOX.1488548940.003Z-1488549000.001Z.ts
","12
","00:00:23,824 --> 00:00:25,326
","<font face=""Monospace"">{\an7}WEEK THAT HUNTER WAS DATING HIS
BROTHERS WIDOW AND NOW WE JUST</font>
",0
106,"FOX.1488548940.003Z-1488549000.001Z.ts
","13
","00:00:25,325 --> 00:00:28,328
","<font face=""Monospace"">{\an7}BROTHERS WIDOW AND NOW WE JUST
GOT OUR HANDS ON HIS DIVORCE</font>
",0
107,"FOX.1488548940.003Z-1488549000.001Z.ts
","14
","00:00:28,328 --> 00:00:31,431
","<font face=""Monospace"">{\an7}GOT OUR HANDS ON HIS DIVORCE
PAPERS, SHE FILED PAPERS, IN DC</font>
",0
108,"FOX.1488548940.003Z-1488549000.001Z.ts
","15
","00:00:31,431 --> 00:00:33,934
","<font face=""Monospace"">{\an7}PAPERS, SHE FILED PAPERS, IN DC
AND WHAT’S IN THESE COURT</font>
",0
109,"FOX.1488548940.003Z-1488549000.001Z.ts
","16
","00:00:33,934 --> 00:00:35,369
","<font face=""Monospace"">{\an7}AND WHAT’S IN THESE COURT
DOCUMENTS, IS INSANE.</font>
",0
110,"FOX.1488548940.003Z-1488549000.001Z.ts
","17
","00:00:35,369 --> 00:00:38,973
","<font face=""Monospace"">{\an7}DOCUMENTS, IS INSANE.
HE HAS SQUANDERED THEIR MONEY ON</font>
",0
111,"FOX.1488548940.003Z-1488549000.001Z.ts
","18
","00:00:38,972 --> 00:00:40,874
","<font face=""Monospace"">{\an7}HE HAS SQUANDERED THEIR MONEY ON
PROSTITUTES, AND SPENT MONEY ON</font>
",0
112,"FOX.1488548940.003Z-1488549000.001Z.ts
","19
","00:00:40,874 --> 00:00:43,377
","<font face=""Monospace"">{\an7}PROSTITUTES, AND SPENT MONEY ON
HOTEL ROOMS, IN ONE NIGHT,</font>
",0
113,"FOX.1488548940.003Z-1488549000.001Z.ts
","20
","00:00:43,377 --> 00:00:45,813
","<font face=""Monospace"">{\an7}HOTEL ROOMS, IN ONE NIGHT,
DRUGS, ALCOHOL, AND IT’S</font>
",0
114,"FOX.1488548940.003Z-1488549000.001Z.ts
","21
","00:00:45,812 --> 00:00:46,079
","<font face=""Monospace"">{\an7}DRUGS, ALCOHOL, AND IT’S
EXPLOSIVE.</font>
",0
115,"FOX.1488548940.003Z-1488549000.001Z.ts
","22
","00:00:46,079 --> 00:00:48,682
","<font face=""Monospace"">{\an7}EXPLOSIVE.
>> SHE CLAIMS THAT HE IS SCAN</font>
",0
116,"FOX.1488548940.003Z-1488549000.001Z.ts
","23
","00:00:48,682 --> 00:00:50,784
","<font face=""Monospace"">{\an7}>> SHE CLAIMS THAT HE IS SCAN
DERG THE MONEY FOR HIS CHILDREN.</font>
",0
117,"FOX.1488548940.003Z-1488549000.001Z.ts
","24
","00:00:50,784 --> 00:00:54,087
","<font face=""Monospace"">{\an7}DERG THE MONEY FOR HIS CHILDREN.
IS THIS CONNECTED TO THE WHOLE</font>
",0
118,"FOX.1488548940.003Z-1488549000.001Z.ts
","25
","00:00:54,087 --> 00:00:55,589
","<font face=""Monospace"">{\an7}IS THIS CONNECTED TO THE WHOLE
ASHLEY MADISON SITUATION.</font>
",0
119,"FOX.1488548940.003Z-1488549000.001Z.ts
","26
","00:00:55,589 --> 00:00:56,990
","<font face=""Monospace"">{\an7}ASHLEY MADISON SITUATION.
>> HE ALWAYS DENIED THAT HE WAS</font>
",0
120,"FOX.1488549000.001Z-1488549060.000Z.ts
","1
","00:00:00,000 --> 00:00:02,169
","<font face=""Monospace"">{\an7}WAS LINKED TO</font>

",0
121,"FOX.1488549000.001Z-1488549060.000Z.ts
","2
","00:00:02,169 --> 00:00:03,771
","<font face=""Monospace"">{\an7}ASHLEY MADISON.
WAS LINKED TO</font>
",0
122,"FOX.1488549000.001Z-1488549060.000Z.ts
","3
","00:00:03,770 --> 00:00:07,540
","<font face=""Monospace"">{\an7}ASHLEY MADISON.
HE SPENT 122,000 IN TWO MONTHS.</font>
",0
123,"FOX.1488549000.001Z-1488549060.000Z.ts
","4
","00:00:07,541 --> 00:00:09,810
","<font face=""Monospace"">{\an7}HE SPENT 122,000 IN TWO MONTHS.
NOW HE HASN’T ADDRESSED THESE</font>
",0
124,"FOX.1488549000.001Z-1488549060.000Z.ts
","5
","00:00:09,810 --> 00:00:12,413
","<font face=""Monospace"">{\an7}NOW HE HASN’T ADDRESSED THESE
CLAIMS BUT HE HAS SAID THAT HIS</font>
",0
125,"FOX.1488549000.001Z-1488549060.000Z.ts
","6
","00:00:12,412 --> 00:00:13,914
","<font face=""Monospace"">{\an7}CLAIMS BUT HE HAS SAID THAT HIS
BEHAVIOR WAS NOT THE REASON FOR</font>
",0
